M,ϵ,G/Y
0.0,1.5,0.0
0.02,1.5,0.005418706574033455
0.04,1.5,0.01069275680104756
0.06,1.5,0.015722768220632316
0.08,1.5,0.02042392811881527
0.1,1.5,0.024730125172682943
0.12,1.5,0.028595939273412946
0.14,1.5,0.031996554518863324
0.16,1.5,0.03492597146677687
0.18,1.5,0.03739406680199048
0.2,1.5,0.03942307785499871
0.22,1.5,0.04104401087719495
0.24,1.5,0.04229333609921046
0.26,1.5,0.043210185421677566
0.28,1.5,0.043834141135690785
0.3,1.5,0.04420361073753887
0.32,1.5,0.04435472526144582
0.34,1.5,0.044320670796671596
0.36,1.5,0.04413135645933339
0.38,1.5,0.043813328818249564
0.4,1.5,0.043389856098491886
0.42,1.5,0.04288112091675944
0.44,1.5,0.04230447514345373
0.46,1.5,0.04167472337859021
0.48,1.5,0.04100441199333388
0.5,1.5,0.04030410875953577
0.52,1.5,0.03958266405463215
0.54,1.5,0.03884744886958849
0.56,1.5,0.03810456774494875
0.58,1.5,0.0373590466523806
0.6,1.5,0.036614997004302124
0.62,1.5,0.03587575762968889
0.64,1.5,0.0351440168638143
0.66,1.5,0.034421916983190276
0.68,1.5,0.03371114315948165
0.7000000000000001,1.5,0.03301299896667462
0.72,1.5,0.03232847029407984
0.74,1.5,0.03165827931987611
0.76,1.5,0.03100293000219978
0.78,1.5,0.030362746356973863
0.8,1.5,0.02973790461900197
0.8200000000000001,1.5,0.02912846022766241
0.84,1.5,0.028534370441322537
0.86,1.5,0.0279555132647355
0.88,1.5,0.027391703269943196
0.9,1.5,0.026842704802058193
0.92,1.5,0.026308242985092184
0.9400000000000001,1.5,0.02578801287814153
0.96,1.5,0.025281687077215648
0.98,1.5,0.024788922011432124
1.0,1.5,0.024309363142977353
1.02,1.5,0.023842649247063336
1.04,1.5,0.02338841592016977
1.06,1.5,0.022946298441335056
1.08,1.5,0.02251593409146646
1.1,1.5,0.022096964018985477
1.12,1.5,0.021689034726119022
1.1400000000000001,1.5,0.0212917992383643
1.16,1.5,0.02090491800974273
1.18,1.5,0.020528059608117627
1.2,1.5,0.020160901217831373
1.22,1.5,0.019803128991004865
1.24,1.5,0.019454438273866392
1.26,1.5,0.019114533730281047
1.28,1.5,0.018783129381117897
1.3,1.5,0.018459948575111434
1.32,1.5,0.018144723904360033
1.34,1.5,0.017837197075484645
1.36,1.5,0.017537118745681396
1.3800000000000001,1.5,0.017244248331391543
1.4000000000000001,1.5,0.01695835379603866
1.42,1.5,0.016679211422206963
1.44,1.5,0.016406605572727023
1.46,1.5,0.016140328444369606
1.48,1.5,0.01588017981720105
1.5,1.5,0.01562596680211073
1.52,1.5,0.015377503588560076
1.54,1.5,0.015134611194217718
1.56,1.5,0.014897117217818917
1.58,1.5,0.014664855596314558
1.6,1.5,0.014437666367146385
1.62,1.5,0.014215395436292105
1.6400000000000001,1.5,0.013997894352564128
1.6600000000000001,1.5,0.013785020088511929
1.68,1.5,0.013576634828166817
1.7,1.5,0.01337260576177568
1.72,1.5,0.013172804887594397
1.74,1.5,0.012977108820750094
1.76,1.5,0.012785398609129889
1.78,1.5,0.012597559556213056
1.8,1.5,0.012413481050731617
1.82,1.5,0.01223305640301739
1.84,1.5,0.012056182687874367
1.86,1.5,0.011882760593800112
1.8800000000000001,1.5,0.011712694278367963
1.9000000000000001,1.5,0.011545891229575472
1.92,1.5,0.011382262132958426
1.94,1.5,0.011221720744267888
1.96,1.5,0.011064183767506786
1.98,1.5,0.010909570738123542
2.0,1.5,0.010757803911162461
0.0,1.0,0.0
0.02,1.0,0.0036243562627293335
0.04,1.0,0.007191122502054864
0.06,1.0,0.010653511233971458
0.08,1.0,0.013968776272973493
0.1,1.0,0.017099875521031732
0.12,1.0,0.02001666434010349
0.14,1.0,0.0226965579387223
0.16,1.0,0.025124667685899216
0.18,1.0,0.02729347262363732
0.2,1.0,0.02920212592556884
0.22,1.0,0.03085551399367406
0.24,1.0,0.032263185177284576
0.26,1.0,0.03343825054570798
0.28,1.0,0.034396336622105894
0.3,1.0,0.0351546449145978
0.32,1.0,0.03573114953937173
0.34,1.0,0.03614394467897861
0.36,1.0,0.0364107390632932
0.38,1.0,0.03654848504223421
0.4,1.0,0.03657312444405378
0.42,1.0,0.03649943131353328
0.44,1.0,0.036340931813314103
0.46,1.0,0.03610988318652683
0.48,1.0,0.03581729604381445
0.5,1.0,0.035472986868924805
0.52,1.0,0.03508565021854396
0.54,1.0,0.03466294244036219
0.56,1.0,0.03421157076034184
0.58,1.0,0.03373738327122805
0.6,1.0,0.03324545670370871
0.62,1.0,0.03274017991428205
0.64,1.0,0.03222533182356199
0.66,1.0,0.031704153130344415
0.68,1.0,0.031179411552104574
0.7000000000000001,1.0,0.03065346063834562
0.72,1.0,0.030128292400182194
0.74,1.0,0.029605584122796347
0.76,1.0,0.029086739796861022
0.78,1.0,0.028572926636155405
0.8,1.0,0.028065107153198016
0.8200000000000001,1.0,0.02756406725163424
0.84,1.0,0.027070440769833504
0.86,1.0,0.026584730879379848
0.88,1.0,0.026107328708199484
0.9,1.0,0.02563852952324361
0.92,1.0,0.025178546773472393
0.9400000000000001,1.0,0.02472752426132732
0.96,1.0,0.024285546680516246
0.98,1.0,0.02385264873005588
1.0,1.0,0.02342882298922419
1.02,1.0,0.023014026715343694
1.04,1.0,0.02260818770603351
1.06,1.0,0.022211209349579902
1.08,1.0,0.021822974971194842
1.1,1.0,0.021443351568966734
1.12,1.0,0.021072193021067553
1.1400000000000001,1.0,0.020709342835074807
1.16,1.0,0.020354636500927947
1.18,1.0,0.020007903500900426
1.2,1.0,0.019668969022890392
1.22,1.0,0.019337655417180744
1.24,1.0,0.019013783431476527
1.26,1.0,0.01869717325439199
1.28,1.0,0.0183876453935386
1.3,1.0,0.018085021410878227
1.32,1.0,0.017789124534983325
1.34,1.0,0.017499780167226198
1.36,1.0,0.01721681629664845
1.3800000000000001,1.0,0.01694006383629365
1.4000000000000001,1.0,0.016669356892079712
1.42,1.0,0.016404532973809866
1.44,1.0,0.016145433156637023
1.46,1.0,0.01589190220018563
1.48,1.0,0.015643788631570177
1.5,1.0,0.015400944797712951
1.52,1.0,0.015163226891637294
1.54,1.0,0.014930494956783696
1.56,1.0,0.014702612872847659
1.58,1.0,0.014479448326165212
1.6,1.0,0.01426087276725782
1.62,1.0,0.01404676135779298
1.6400000000000001,1.0,0.013836992908903667
1.6600000000000001,1.0,0.013631449812540664
1.68,1.0,0.013430017967298508
1.7,1.0,0.013232586699950116
1.72,1.0,0.013039048683749499
1.74,1.0,0.012849299854409024
1.76,1.0,0.012663239324523096
1.78,1.0,0.01248076929709524
1.8,1.0,0.012301794978725411
1.82,1.0,0.012126224492926996
1.84,1.0,0.011953968793967706
1.86,1.0,0.011784941581563624
1.8800000000000001,1.0,0.011619059216698646
1.9000000000000001,1.0,0.011456240638793164
1.92,1.0,0.011296407284404009
1.94,1.0,0.011139483007600454
1.96,1.0,0.010985394002130555
1.98,1.0,0.010834068725465357
2.0,1.0,0.01068543782478415
0.0,0.5,0.0
0.02,0.5,0.0018181599700829998
0.04,0.5,0.003627425156191938
0.06,0.5,0.00541544674955477
0.08,0.5,0.007170186021757091
0.1,0.5,0.008880182689191607
0.12,0.5,0.010534799634960929
0.14,0.5,0.012124433261678141
0.16,0.5,0.013640681257103299
0.18,0.5,0.015076462568112153
0.2,0.5,0.016426087576353776
0.22,0.5,0.01768527953636015
0.24,0.5,0.0188511510067412
0.26,0.5,0.01992214108719767
0.28,0.5,0.020897920668354386
0.3,0.5,0.02177927359573756
0.32,0.5,0.022567961704865525
0.34,0.5,0.023266581214211907
0.36,0.5,0.02387841710696556
0.38,0.5,0.024407301036698997
0.4,0.5,0.02485747709010111
0.42,0.5,0.025233478542717264
0.44,0.5,0.02554001763377911
0.46,0.5,0.02578188941761106
0.48,0.5,0.025963889949907254
0.5,0.5,0.026090748444645456
0.52,0.5,0.02616707258348744
0.54,0.5,0.026197305856214242
0.56,0.5,0.026185695634707046
0.58,0.5,0.02613627060909643
0.6,0.5,0.026052826218632502
0.62,0.5,0.02593891676961546
0.64,0.5,0.025797853029655676
0.66,0.5,0.025632704206380336
0.68,0.5,0.025446303347667315
0.7000000000000001,0.5,0.025241255330823803
0.72,0.5,0.025019946733720905
0.74,0.5,0.02478455699775861
0.76,0.5,0.024537070398353122
0.78,0.5,0.024279288432343782
0.8,0.5,0.02401284231314188
0.8200000000000001,0.5,0.023739205334032898
0.84,0.5,0.023459704918621593
0.86,0.5,0.023175534226032024
0.88,0.5,0.02288776321827049
0.9,0.5,0.022597349129290123
0.92,0.5,0.022305146300854894
0.9400000000000001,0.5,0.02201191537031258
0.96,0.5,0.021718331810770375
0.98,0.5,0.02142499383572924
1.0,0.5,0.0211324296886905
1.02,0.5,0.020841104344188677
1.04,0.5,0.020551425650651878
1.06,0.5,0.02026374994786284
1.08,0.5,0.01997838719294462
1.1,0.5,0.019695605629018897
1.12,0.5,0.01941563603020599
1.1400000000000001,0.5,0.019138675555657625
1.16,0.5,0.018864891243971615
1.18,0.5,0.018594423177762276
1.2,0.5,0.018327387346438434
1.22,0.5,0.01806387823344413
1.24,0.5,0.01780397115240176
1.26,0.5,0.017547724354800925
1.28,0.5,0.01729518093013091
1.3,0.5,0.017046370517677267
1.32,0.5,0.016801310847610024
1.34,0.5,0.01656000912749106
1.36,0.5,0.016322463288920952
1.3800000000000001,0.5,0.016088663107741152
1.4000000000000001,0.5,0.015858591209992723
1.42,0.5,0.015632223974718612
1.44,0.5,0.015409532343667515
1.46,0.5,0.015190482547016076
1.48,0.5,0.014975036753365534
1.5,0.5,0.014763153651483202
1.52,0.5,0.01455478897054277
1.54,0.5,0.014349895944968383
1.56,0.5,0.014148425729395758
1.58,0.5,0.01395032776872751
1.6,0.5,0.01375555012777549
1.62,0.5,0.013564039784543236
1.6400000000000001,0.5,0.013375742890803483
1.6600000000000001,0.5,0.013190605003268019
1.68,0.5,0.013008571288320725
1.7,0.5,0.012829586702994111
1.72,0.5,0.012653596154602847
1.74,0.5,0.012480544641210178
1.76,0.5,0.012310377374888853
1.78,0.5,0.012143039889542212
1.8,0.5,0.011978478134877318
1.82,0.5,0.011816638557963777
1.84,0.5,0.011657468173670443
1.86,0.5,0.011500914625142189
1.8800000000000001,0.5,0.011346926235365457
